order_id,product_id,quantity,unit_price
1,374,3,770.11
2,210,2,382.23
3,448,2,163.86
4,674,11,703.18
5,101,14,774.72
6,171,1,318.88
7,204,2,97.3
8,229,1,295.34
9,687,16,269
10,887,10,346.74
11,311,20,640.56
12,112,13,893.48
13,544,18,640.16
14,633,14,377.65
15,967,6,727.2
16,598,9,174.28
17,667,13,884.5
18,496,19,779.84
19,293,19,92.72
20,113,12,997.56
21,644,17,725.05
22,754,10,991.83
23,657,16,980.77
24,649,15,381.7
25,145,1,139.05
26,121,9,799.89
27,544,14,5.35
28,622,12,708.52
29,543,1,796.76
30,175,18,695.73
31,129,11,266.23
32,133,18,338.16
33,124,6,884.46
34,165,5,375.25
35,861,3,825.63
36,876,17,390.27
37,249,10,777.25
38,477,5,537.25
39,629,4,631.47
40,542,2,742.65
41,784,1,352.79
42,411,14,792.15
43,262,17,328.23
44,627,18,141.68
45,207,18,727.69
46,683,11,97.39
47,349,7,887.06
48,507,2,938.57
49,301,17,203.5
50,298,9,566.8
51,714,11,88.32
52,236,18,139.77
53,604,13,778.07
54,830,19,867.82
55,505,8,841.14
56,724,1,898.78
57,451,19,126.7
58,469,15,365.03
59,423,12,220.51
60,451,7,821.38
61,491,2,842.42
62,612,9,830.21
63,976,18,379.52
64,403,4,908.67
65,939,20,325.62
66,152,19,391.48
67,576,19,766.77
68,348,15,269.58
69,676,19,347.33
70,613,19,905.94
71,445,2,186.29
72,538,16,735.09
73,647,2,472.96
74,244,11,871.11
75,712,2,466.09
76,822,19,901.41
77,428,13,231.44
78,992,9,288.67
79,466,14,48.19
80,608,6,202.25
81,637,6,765.04
82,959,7,306.24
83,329,10,530.17
84,553,20,547.24
85,926,7,523.1
86,750,13,409.38
87,213,2,572.16
88,629,12,158.08
89,299,7,977.06
90,350,7,78.07
91,111,14,657.93
92,130,2,925.05
93,848,14,700.33
94,411,4,286.14
95,317,17,30.84
96,904,5,468.57
97,327,17,664.11
98,500,18,193.01
99,608,2,290.35
100,848,4,130.35
