order_id,customer_id,order_date,shipped_date,status,total_amount
1,37,1/2/2023,,processing,445.53
2,99,1/3/2023,,pending,81.24
3,100,1/4/2023,,pending,178.58
4,2,1/5/2023,,processing,120.46
5,6,1/6/2023,1/9/2023,shipped,323.37
6,66,1/7/2023,1/12/2023,shipped,486.92
7,42,1/8/2023,,pending,458.32
8,16,1/9/2023,1/14/2023,shipped,166.79
9,57,1/10/2023,,processing,188.82
10,75,1/11/2023,,pending,367.36
11,19,1/12/2023,,processing,258.79
12,78,1/13/2023,1/17/2023,shipped,101.01
13,71,1/14/2023,,pending,476.05
14,46,1/15/2023,1/17/2023,shipped,456.11
15,83,1/16/2023,1/20/2023,shipped,366.85
16,32,1/17/2023,,processing,308.84
17,59,1/18/2023,,pending,285.09
18,18,1/19/2023,1/22/2023,shipped,356.7
19,13,1/20/2023,,pending,391.35
20,64,1/21/2023,,pending,306.81
21,57,1/22/2023,,pending,250.86
22,43,1/23/2023,1/26/2023,shipped,299.18
23,37,1/24/2023,,processing,412.32
24,48,1/25/2023,1/28/2023,shipped,379.66
25,16,1/26/2023,,processing,207.68
26,93,1/27/2023,1/30/2023,shipped,476.55
27,22,1/28/2023,,processing,239.74
28,88,1/29/2023,,processing,316.9
29,91,1/30/2023,2/1/2023,shipped,310.36
30,48,1/31/2023,,pending,211.7
31,67,2/1/2023,2/4/2023,shipped,347.57
32,76,2/2/2023,2/7/2023,shipped,169.71
33,13,2/3/2023,,processing,70.91
34,43,2/4/2023,,pending,178.49
35,45,2/5/2023,2/6/2023,shipped,473.36
36,37,2/6/2023,,pending,65.12
37,26,2/7/2023,2/8/2023,shipped,60.28
38,64,2/8/2023,2/9/2023,shipped,323.49
39,50,2/9/2023,,pending,326.36
40,32,2/10/2023,2/12/2023,shipped,474.45
41,68,2/11/2023,,processing,327.35
42,46,2/12/2023,,processing,309.5
43,64,2/13/2023,2/17/2023,shipped,436.03
44,37,2/14/2023,,pending,176.59
45,3,2/15/2023,,processing,170.65
46,3,2/16/2023,2/21/2023,shipped,266.46
47,12,2/17/2023,,pending,70.62
48,55,2/18/2023,2/22/2023,shipped,166.42
49,43,2/19/2023,,processing,315.81
50,61,2/20/2023,,processing,212.73
51,97,2/21/2023,,pending,74.04
52,75,2/22/2023,2/23/2023,shipped,120.65
53,37,2/23/2023,2/26/2023,shipped,377.9
54,73,2/24/2023,,processing,469.83
55,44,2/25/2023,3/1/2023,shipped,89.03
56,66,2/26/2023,,pending,267.07
57,48,2/27/2023,,pending,75.82
58,36,2/28/2023,,processing,292.76
59,90,3/1/2023,3/5/2023,shipped,341.57
60,94,3/2/2023,,pending,167.01
61,54,3/3/2023,3/6/2023,shipped,364.64
62,93,3/4/2023,3/7/2023,shipped,79.67
63,60,3/5/2023,,pending,352.52
64,72,3/6/2023,,processing,222.32
65,48,3/7/2023,,pending,377.68
66,25,3/8/2023,,pending,259.68
67,44,3/9/2023,,pending,83.23
68,3,3/10/2023,,processing,195.37
69,2,3/11/2023,,pending,273.26
70,93,3/12/2023,,processing,413.34
71,7,3/13/2023,3/18/2023,shipped,410.82
72,24,3/14/2023,,processing,368.83
73,22,3/15/2023,3/16/2023,shipped,340.07
74,86,3/16/2023,,processing,382.43
75,49,3/17/2023,3/21/2023,shipped,172.36
76,80,3/18/2023,,processing,171.67
77,3,3/19/2023,,pending,211.48
78,17,3/20/2023,,processing,246.48
79,54,3/21/2023,3/22/2023,shipped,478.14
80,12,3/22/2023,,pending,389.36
81,61,3/23/2023,3/24/2023,shipped,336.43
82,12,3/24/2023,,processing,148.02
83,4,3/25/2023,3/26/2023,shipped,373.39
84,35,3/26/2023,,processing,292.51
85,1,3/27/2023,3/28/2023,shipped,255.29
86,40,3/28/2023,,processing,95.72
87,6,3/29/2023,,pending,242.59
88,39,3/30/2023,,processing,265.35
89,95,3/31/2023,,processing,211.86
90,52,4/1/2023,,processing,165.16
91,85,4/2/2023,4/3/2023,shipped,229.53
92,62,4/3/2023,,pending,50.4
93,62,4/4/2023,,pending,106.48
94,83,4/5/2023,4/10/2023,shipped,76.31
95,71,4/6/2023,4/9/2023,shipped,87.82
96,50,4/7/2023,4/8/2023,shipped,422.14
97,54,4/8/2023,,processing,428.22
98,84,4/9/2023,4/12/2023,shipped,195.57
99,91,4/10/2023,4/12/2023,shipped,395.54
100,18,4/11/2023,,pending,466.98
